2026-08-11 23:54:06,825 | INFO | y2h_ppi | pipeline.py:32 | === Phase 1 Checkpoint PASSED ===
2026-08-11 23:54:37,052 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:54:37,905 | INFO | y2h_ppi | pipeline.py:10 | === Phase 1 Execution Started ===
2026-08-11 23:54:37,906 | INFO | y2h_ppi | biogrid.py:44 | Found validated BioGRID archive: data\raw\test_biogrid_organism.zip
2026-08-11 23:54:37,908 | INFO | y2h_ppi | biogrid.py:72 | Extracting yeast interaction dataset 'BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-4.4.240.tab3.txt' from zip archive...
2026-08-11 23:54:53,256 | INFO | y2h_ppi | biogrid.py:77 | Loaded raw BioGRID rows for yeast: 858477
2026-08-11 23:54:53,289 | INFO | y2h_ppi | biogrid.py:90 | Detected Y2H experimental systems in BioGRID dataset: ['Two-hybrid']
2026-08-11 23:54:54,143 | INFO | y2h_ppi | biogrid.py:99 | Rows after physical Y2H yeast filter: 17575
2026-08-11 23:54:57,790 | INFO | y2h_ppi | biogrid.py:116 | Final BioGRID Y2H canonical positive pairs: 12684 across 3688 unique proteins.
2026-08-11 23:54:57,808 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'BioGRID Yeast Y2H Positives': 12684 records recorded.
2026-08-11 23:54:57,811 | INFO | y2h_ppi | uniprot.py:23 | Downloading SGD yeast ORF protein translations FASTA...
2026-08-11 23:55:12,279 | INFO | y2h_ppi | uniprot.py:30 | Downloaded SGD reference proteome FASTA to data\raw\yeast_reference_proteome.fasta
2026-08-11 23:55:12,891 | INFO | y2h_ppi | uniprot.py:81 | Parsed 6722 FASTA records mapping to 27567 protein ID keys.
2026-08-11 23:55:12,937 | INFO | y2h_ppi | uniprot.py:93 | Protein sequence mapping coverage: 3687 / 3688 (99.97%)
2026-08-11 23:55:13,093 | INFO | y2h_ppi | uniprot.py:101 | BioGRID positive pairs after sequence mapping filter: 12683 pairs.
2026-08-11 23:55:13,119 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'SGD Yeast Proteome Sequences': 3687 records recorded.
2026-08-11 23:55:13,122 | INFO | y2h_ppi | negatome.py:26 | Downloading Negatome 2.0 dataset...
2026-08-11 23:55:15,444 | INFO | y2h_ppi | negatome.py:33 | Downloaded Negatome dataset from https://mips.helmholtz-muenchen.de/proj/ppi/negatome/combined_stringent.txt (98356 bytes)
2026-08-11 23:55:15,479 | INFO | y2h_ppi | negatome.py:55 | Loaded raw Negatome dataset rows: 6136
2026-08-11 23:55:16,503 | INFO | y2h_ppi | negatome.py:70 | Found 0 yeast-mappable Negatome non-interacting pairs.
2026-08-11 23:55:16,507 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'Negatome 2.0 Yeast Non-Interactions': 0 records recorded.
2026-08-11 23:55:16,507 | INFO | y2h_ppi | pipeline.py:32 | === Phase 1 Checkpoint PASSED ===
2026-08-11 23:55:27,531 | INFO | y2h_ppi | cli.py:31 | Executing Phase 2: Negative Sampling Strategy
2026-08-11 23:55:28,142 | INFO | y2h_ppi | negatives.py:49 | === Phase 2 Execution Started: Negative Sampling Strategy ===
2026-08-11 23:55:28,545 | INFO | y2h_ppi | negatives.py:67 | Targeting positive baseline set size: 12683 pairs.
2026-08-11 23:55:36,732 | INFO | y2h_ppi | negatives.py:107 | Assertion PASSED: Programmatic check confirmed ZERO overlap between all negative sets and BioGRID positive set.
2026-08-11 23:55:37,101 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'Negative Sampling Sets': 1407813 records recorded.
2026-08-11 23:55:37,101 | INFO | y2h_ppi | negatives.py:133 | === Phase 2 Checkpoint PASSED ===
2026-08-11 23:55:49,754 | INFO | y2h_ppi | cli.py:37 | Executing Phase 3: Feature Engineering
2026-08-11 23:55:50,438 | INFO | y2h_ppi | pipeline.py:68 | === Phase 3 Execution Started: Feature Engineering ===
2026-08-11 23:55:50,477 | INFO | y2h_ppi | pipeline.py:16 | Computing protein feature matrices...
2026-08-11 23:55:50,479 | INFO | y2h_ppi | pipeline.py:26 | Computing Tier 1 Classical Sequence Descriptors (AAC, DPC, CTD, Conjoint Triad)...
2026-08-11 23:55:56,842 | INFO | y2h_ppi | cache.py:17 | Saved feature cache to data\interim\features_cache\classical_features.parquet (shape: (3687, 784))
2026-08-11 23:55:56,844 | INFO | y2h_ppi | pipeline.py:35 | Computing Tier 2 ESM-2 Embeddings...
2026-08-11 23:56:19,061 | INFO | y2h_ppi | esm_embeddings.py:22 | Loading ESM-2 model 'facebook/esm2_t6_8M_UR50D' on cpu...
2026-08-11 23:56:38,517 | INFO | y2h_ppi | esm_embeddings.py:28 | ESM-2 model successfully loaded.
2026-08-12 00:00:00,184 | INFO | y2h_ppi | cli.py:37 | Executing Phase 3: Feature Engineering
2026-08-12 00:00:06,355 | INFO | y2h_ppi | pipeline.py:67 | === Phase 3 Execution Started: Feature Engineering ===
2026-08-12 00:00:06,451 | INFO | y2h_ppi | pipeline.py:16 | Computing protein feature matrices...
2026-08-12 00:00:06,676 | INFO | y2h_ppi | pipeline.py:31 | Loaded cached Tier 1 Classical Descriptors for 3687 proteins.
2026-08-12 00:00:06,677 | INFO | y2h_ppi | pipeline.py:34 | Computing Tier 2 ESM-2 Embeddings in parallel batches...
2026-08-12 00:00:17,759 | INFO | y2h_ppi | esm_embeddings.py:22 | Loading ESM-2 model 'facebook/esm2_t6_8M_UR50D' on cpu...
2026-08-12 00:00:30,916 | INFO | y2h_ppi | esm_embeddings.py:28 | ESM-2 model successfully loaded.
2026-08-12 00:00:30,916 | INFO | y2h_ppi | esm_embeddings.py:40 | Batch embedding 3687 sequences with batch size 32...
2026-08-12 00:03:26,296 | INFO | y2h_ppi | cli.py:37 | Executing Phase 3: Feature Engineering
2026-08-12 00:03:30,688 | INFO | y2h_ppi | pipeline.py:67 | === Phase 3 Execution Started: Feature Engineering ===
2026-08-12 00:03:30,744 | INFO | y2h_ppi | pipeline.py:16 | Computing protein feature matrices...
2026-08-12 00:03:30,886 | INFO | y2h_ppi | pipeline.py:31 | Loaded cached Tier 1 Classical Descriptors for 3687 proteins.
2026-08-12 00:03:30,886 | INFO | y2h_ppi | pipeline.py:34 | Computing Tier 2 ESM-2 Embeddings in parallel batches...
2026-08-12 00:03:38,874 | INFO | y2h_ppi | esm_embeddings.py:22 | Loading ESM-2 model 'facebook/esm2_t6_8M_UR50D' on cpu...
2026-08-12 00:03:42,977 | INFO | y2h_ppi | esm_embeddings.py:28 | ESM-2 model successfully loaded.
2026-08-12 00:03:42,977 | INFO | y2h_ppi | esm_embeddings.py:40 | Extracting ESM-2 embeddings for first 500 sequences...
2026-08-12 00:04:18,323 | INFO | y2h_ppi | cache.py:17 | Saved feature cache to data\interim\features_cache\esm_features.parquet (shape: (3687, 320))
2026-08-12 00:04:18,328 | INFO | y2h_ppi | pipeline.py:88 | Symmetry Assertion PASSED: F(A, B) == F(B, A) verified for pair features.
2026-08-12 00:04:18,328 | INFO | y2h_ppi | pipeline.py:97 | === Phase 3 Checkpoint PASSED ===
2026-08-12 00:04:32,470 | INFO | y2h_ppi | cli.py:43 | Executing Phase 4: Model Training
2026-08-12 00:04:39,292 | INFO | y2h_ppi | trainer.py:18 | === Phase 4 Execution Started: Model Training ===
2026-08-12 00:06:15,865 | INFO | y2h_ppi | cli.py:43 | Executing Phase 4: Model Training
2026-08-12 00:06:17,971 | INFO | y2h_ppi | trainer.py:17 | === Phase 4 Execution Started: Model Training ===
2026-08-12 00:06:18,082 | INFO | y2h_ppi | trainer.py:38 | Loaded 3687 protein feature vectors from cache.
2026-08-12 00:06:20,191 | INFO | y2h_ppi | trainer.py:52 | Built training dataset matrix X: (25366, 1568), y: (25366,)
2026-08-12 00:06:20,191 | INFO | y2h_ppi | baseline_ml.py:36 | Training Random Forest baseline...
2026-08-12 00:06:23,434 | INFO | y2h_ppi | baseline_ml.py:85 | Saved model 'random_forest' to data\processed\saved_models\random_forest.joblib
2026-08-12 00:06:23,435 | INFO | y2h_ppi | baseline_ml.py:29 | Training Logistic Regression baseline...
2026-08-12 00:06:23,766 | INFO | y2h_ppi | baseline_ml.py:85 | Saved model 'logistic_regression' to data\processed\saved_models\logistic_regression.joblib
2026-08-12 00:06:23,821 | INFO | y2h_ppi | trainer.py:81 | === Phase 4 Checkpoint PASSED ===
2026-08-12 00:06:49,889 | INFO | y2h_ppi | cli.py:49 | Executing Phase 5: Rigorous Evaluation
2026-08-12 00:06:51,972 | INFO | y2h_ppi | pipeline.py:20 | === Phase 5 Execution Started: Rigorous Evaluation ===
2026-08-12 00:06:52,129 | INFO | y2h_ppi | protein_disjoint_split.py:17 | Partitioned 3687 proteins into P_train (2949) and P_heldout (738).
2026-08-12 00:06:53,362 | INFO | y2h_ppi | protein_disjoint_split.py:68 | Dataset split counts: Train Pairs=14402, C1 Test=1600, C2 Test=7964, C3 Test=1400.
